DQ6 name glossary - NoPrgress's own romanisations
========================================================

Every name used in the refilled text is theirs, taken from their own
script rather than from any other source. Several differ from series
convention; where they do, theirs was followed.

The count is the number of messages the name appears in.

NAME               MESSAGES
Holse              137
Rand               69
Gina               66
Luisa              59
Rob                56
Krimut             55
Sandy              50
Shera              45
Geban              38
Denae              37
Sally              36
Sludge             35
Zenith             34
Hawk               33
Judy               32
Holten             30
Duran              28
Erika              26
Ende               24
Harris             22
Gon                21
Champ              21
Doga               20
Boga               19
Eliza              18
Bilte              17
John               17
Franco             17
Falshion           16
Dhama              16
Pero               16
Calberona          15
Goran              15
Shrine             15
Dresser            15
Jamiras            14
Tonra              14
Calbe              13
Silver             13
Foan               13
Lifecod            13
Dina               12
Amoru              12
Miralgo            12
Amanda             12
Gindoro            12
Ralph              12
Zuikaku            11
Glacos             10
Holstock           10
Smok               10
Shoukaku           10
Marino             9
San                9
Super              9
Calcado            8
Mahamed            8
Madante            8
Gandino            8
Yurina             8
Jimmy              8
Slime              8
Vivian             8
Sharon             8
Barbarella         7
Carol              7
Longadeseo         6
Lavian             6
Lee                6
Arena              6
Holcotta           6
Cloud              6
Watergate          5
Alicia             5
Destiny            5
Wall               5
Calbes             5
Bubole             5
Mitchell           5
Helen              5
Zozogel            5
Plutoss            5
Jean               5
Porte              5
Poseidon           5
Goriki             5
Dante              5
Panon              4
Badge              4
Coble              4
Zaxon              4
Pipe               4
Dogma              4
Medal              4
Arcbolt            4
Herbal             4
Orgo               4
Zenithia           4
Calvin             4
Ramia              4
Kiii               4
Kurt               4
